epoch,accuracy,loss,val_accuracy,val_loss
0,0.5,1.448142647743225,0.734375,1.559781789779663
1,0.640625,1.1568634510040283,0.265625,9.488970756530762
2,0.671875,0.6306065917015076,0.265625,7.584470748901367
3,0.84375,0.36673542857170105,0.265625,1.5186914205551147
4,1.0,0.10895244777202606,0.734375,0.856253981590271
5,1.0,0.06484468281269073,0.734375,1.3273706436157227
6,1.0,0.05132994055747986,0.734375,1.0373430252075195
7,1.0,0.002084228675812483,0.734375,0.7486132383346558
8,1.0,0.0007473225705325603,0.734375,0.5844348669052124
9,1.0,0.0005694819265045226,0.65625,0.6785745024681091
